country,orderDate,productCode,quantityOrdered,priceEach,orderNumber,productLine,productName,extendedPrice,year,month,sortkey
USA,8/6/2004 0:00,S18_1889,29,73.15,10278,Classic Cars,1948 Porsche 356-A Roadster,2121.35,2004,August,8
USA,8/6/2004 0:00,S18_1984,29,118.07,10278,Classic Cars,1995 Honda Civic,3424.03,2004,August,8
USA,8/6/2004 0:00,S18_2870,39,117.48,10278,Classic Cars,1999 Indy 500 Monte Carlo SS,4581.72,2004,August,8
USA,8/6/2004 0:00,S18_3232,42,167.65,10278,Classic Cars,1992 Ferrari 360 Spider red,7041.3,2004,August,8
USA,8/6/2004 0:00,S18_3685,31,114.44,10278,Classic Cars,1948 Porsche Type 356 Roadster,3547.64,2004,August,8
USA,8/6/2004 0:00,S24_1628,35,48.8,10278,Classic Cars,1966 Shelby Cobra 427 S/C,1708,2004,August,8
USA,8/6/2004 0:00,S24_2972,31,37.38,10278,Classic Cars,1982 Lamborghini Diablo,1158.78,2004,August,8
USA,8/6/2004 0:00,S24_3856,25,136.22,10278,Classic Cars,1956 Porsche 356A Coupe,3405.5,2004,August,8
USA,11/29/2004 0:00,S18_1342,42,88.36,10346,Vintage Cars,1937 Lincoln Berline,3711.12,2004,November,11
USA,11/29/2004 0:00,S24_2766,25,87.24,10346,Classic Cars,1949 Jaguar XK 120,2181,2004,November,11
USA,11/29/2004 0:00,S24_2887,24,117.44,10346,Classic Cars,1952 Citroen-15CV,2818.56,2004,November,11
USA,11/29/2004 0:00,S24_3191,24,80.47,10346,Classic Cars,1969 Chevrolet Camaro Z28,1931.28,2004,November,11
USA,11/29/2004 0:00,S24_3432,26,103.87,10346,Classic Cars,2002 Chevy Corvette,2700.62,2004,November,11
USA,11/29/2004 0:00,S24_3969,22,38.57,10346,Vintage Cars,1936 Mercedes Benz 500k Roadster,848.54,2004,November,11
Australia,4/29/2003 0:00,S10_2016,29,118.94,10120,Motorcycles,1996 Moto Guzzi 1100i,3449.26,2003,April,4
Australia,4/29/2003 0:00,S10_4698,46,158.8,10120,Motorcycles,2003 Harley-Davidson Eagle Drag Bike,7304.8,2003,April,4
Australia,4/29/2003 0:00,S18_2581,29,82.79,10120,Planes,P-51-D Mustang,2400.91,2003,April,4
Australia,4/29/2003 0:00,S18_2625,46,57.54,10120,Motorcycles,1936 Harley Davidson El Knucklehead,2646.84,2003,April,4
Australia,4/29/2003 0:00,S24_1578,35,110.45,10120,Motorcycles,1997 BMW R 1100 S,3865.75,2003,April,4
Australia,4/29/2003 0:00,S24_1785,39,93.01,10120,Planes,1928 British Royal Navy Airplane,3627.39,2003,April,4
Australia,4/29/2003 0:00,S24_2000,34,72.36,10120,Motorcycles,1960 BSA Gold Star DBD34,2460.24,2003,April,4
Australia,4/29/2003 0:00,S24_4278,29,71.73,10120,Planes,1900s Vintage Tri-Plane,2080.17,2003,April,4
Australia,4/29/2003 0:00,S32_1374,22,94.9,10120,Motorcycles,1997 BMW F650 ST,2087.8,2003,April,4
Australia,4/29/2003 0:00,S32_4289,29,68.79,10120,Vintage Cars,1928 Ford Phaeton Deluxe,1994.91,2003,April,4
Australia,4/29/2003 0:00,S50_1341,49,41.46,10120,Vintage Cars,1930 Buick Marquette Phaeton,2031.54,2003,April,4
Australia,4/29/2003 0:00,S700_1691,47,91.34,10120,Planes,American Airlines: B767-300,4292.98,2003,April,4
Australia,4/29/2003 0:00,S700_2466,24,81.77,10120,Planes,America West Airlines B757-200,1962.48,2003,April,4
Australia,4/29/2003 0:00,S700_2834,24,106.79,10120,Planes,ATA: B757-300,2562.96,2003,April,4
Australia,4/29/2003 0:00,S700_3167,43,72,10120,Planes,F/A 18 Hornet 1/72,3096,2003,April,4
Australia,5/21/2003 0:00,S18_1342,32,89.38,10125,Vintage Cars,1937 Lincoln Berline,2860.16,2003,May,5
Australia,5/21/2003 0:00,S18_2795,34,138.38,10125,Vintage Cars,1928 Mercedes-Benz SSK,4704.92,2003,May,5
Australia,2/20/2004 0:00,S10_1678,37,80.39,10223,Motorcycles,1969 Harley Davidson Ultimate Chopper,2974.43,2004,February,2
Australia,2/20/2004 0:00,S10_2016,47,110.61,10223,Motorcycles,1996 Moto Guzzi 1100i,5198.67,2004,February,2
Australia,2/20/2004 0:00,S10_4698,49,189.79,10223,Motorcycles,2003 Harley-Davidson Eagle Drag Bike,9299.71,2004,February,2
Australia,2/20/2004 0:00,S18_2581,47,67.58,10223,Planes,P-51-D Mustang,3176.26,2004,February,2
Australia,2/20/2004 0:00,S18_2625,28,58.75,10223,Motorcycles,1936 Harley Davidson El Knucklehead,1645,2004,February,2
Australia,2/20/2004 0:00,S24_1578,32,104.81,10223,Motorcycles,1997 BMW R 1100 S,3353.92,2004,February,2
Australia,2/20/2004 0:00,S24_1785,34,87.54,10223,Planes,1928 British Royal Navy Airplane,2976.36,2004,February,2
Australia,2/20/2004 0:00,S24_2000,38,60.94,10223,Motorcycles,1960 BSA Gold Star DBD34,2315.72,2004,February,2
Australia,2/20/2004 0:00,S24_4278,23,68.1,10223,Planes,1900s Vintage Tri-Plane,1566.3,2004,February,2
Australia,2/20/2004 0:00,S32_1374,21,90.9,10223,Motorcycles,1997 BMW F650 ST,1908.9,2004,February,2
Australia,2/20/2004 0:00,S32_4289,20,66.73,10223,Vintage Cars,1928 Ford Phaeton Deluxe,1334.6,2004,February,2
Australia,2/20/2004 0:00,S50_1341,41,41.02,10223,Vintage Cars,1930 Buick Marquette Phaeton,1681.82,2004,February,2
Australia,2/20/2004 0:00,S700_1691,25,84.03,10223,Planes,American Airlines: B767-300,2100.75,2004,February,2
Australia,2/20/2004 0:00,S700_2834,29,113.9,10223,Planes,ATA: B757-300,3303.1,2004,February,2
Australia,2/20/2004 0:00,S700_3167,26,79.2,10223,Planes,F/A 18 Hornet 1/72,2059.2,2004,February,2
Australia,11/24/2004 0:00,S18_1129,40,118.89,10342,Classic Cars,1993 Mazda RX-7,4755.6,2004,November,11
Australia,11/24/2004 0:00,S18_1889,55,63.14,10342,Classic Cars,1948 Porsche 356-A Roadster,3472.7,2004,November,11
Australia,11/24/2004 0:00,S18_1984,22,115.22,10342,Classic Cars,1995 Honda Civic,2534.84,2004,November,11
Australia,11/24/2004 0:00,S18_3232,30,167.65,10342,Classic Cars,1992 Ferrari 360 Spider red,5029.5,2004,November,11
Australia,11/24/2004 0:00,S18_3278,25,76.39,10342,Classic Cars,1969 Dodge Super Bee,1909.75,2004,November,11
Australia,11/24/2004 0:00,S18_3482,55,136.7,10342,Classic Cars,1976 Ford Gran Torino,7518.5,2004,November,11
Australia,11/24/2004 0:00,S18_3782,26,57.82,10342,Motorcycles,1957 Vespa GS150,1503.32,2004,November,11
Australia,11/24/2004 0:00,S18_4721,38,124.99,10342,Classic Cars,1957 Corvette Convertible,4749.62,2004,November,11
Australia,11/24/2004 0:00,S24_2972,39,30.59,10342,Classic Cars,1982 Lamborghini Diablo,1193.01,2004,November,11
Australia,11/24/2004 0:00,S24_3371,48,60.01,10342,Classic Cars,1971 Alpine Renault 1600s,2880.48,2004,November,11
Australia,11/24/2004 0:00,S24_3856,42,112.34,10342,Classic Cars,1956 Porsche 356A Coupe,4718.28,2004,November,11
Australia,11/29/2004 0:00,S10_1949,30,188.58,10347,Classic Cars,1952 Alpine Renault 1300,5657.4,2004,November,11
Australia,11/29/2004 0:00,S10_4962,27,132.97,10347,Classic Cars,1962 LanciaA Delta 16V,3590.19,2004,November,11
Australia,11/29/2004 0:00,S12_1666,29,132.57,10347,Trucks and Buses,1958 Setra Bus,3844.53,2004,November,11
Australia,11/29/2004 0:00,S18_1097,42,113.17,10347,Trucks and Buses,1940 Ford Pickup Truck,4753.14,2004,November,11
Australia,11/29/2004 0:00,S18_1367,21,46.36,10347,Vintage Cars,1936 Mercedes-Benz 500K Special Roadster,973.56,2004,November,11
Australia,11/29/2004 0:00,S18_2432,50,51.05,10347,Trucks and Buses,1926 Ford Fire Engine,2552.5,2004,November,11
Australia,11/29/2004 0:00,S18_2795,21,136.69,10347,Vintage Cars,1928 Mercedes-Benz SSK,2870.49,2004,November,11
Australia,11/29/2004 0:00,S18_2949,48,84.09,10347,Vintage Cars,1913 Ford Model T Speedster,4036.32,2004,November,11
Australia,11/29/2004 0:00,S18_2957,34,60.59,10347,Vintage Cars,1934 Ford V8 Coupe,2060.06,2004,November,11
Australia,11/29/2004 0:00,S18_3136,45,95.3,10347,Vintage Cars,18th Century Vintage Horse Carriage,4288.5,2004,November,11
Australia,11/29/2004 0:00,S18_3320,26,84.33,10347,Vintage Cars,1917 Maxwell Touring Car,2192.58,2004,November,11
Australia,11/29/2004 0:00,S18_4600,45,115.03,10347,Trucks and Buses,1940s Ford truck,5176.35,2004,November,11
France,7/23/2004 0:00,S10_1678,45,81.35,10275,Motorcycles,1969 Harley Davidson Ultimate Chopper,3660.75,2004,July,7
France,7/23/2004 0:00,S10_2016,22,115.37,10275,Motorcycles,1996 Moto Guzzi 1100i,2538.14,2004,July,7
France,7/23/2004 0:00,S10_4698,36,154.93,10275,Motorcycles,2003 Harley-Davidson Eagle Drag Bike,5577.48,2004,July,7
France,7/23/2004 0:00,S18_2581,35,70.12,10275,Planes,P-51-D Mustang,2454.2,2004,July,7
France,7/23/2004 0:00,S18_2625,37,52.09,10275,Motorcycles,1936 Harley Davidson El Knucklehead,1927.33,2004,July,7
France,7/23/2004 0:00,S24_1578,21,105.94,10275,Motorcycles,1997 BMW R 1100 S,2224.74,2004,July,7
France,7/23/2004 0:00,S24_1785,25,97.38,10275,Planes,1928 British Royal Navy Airplane,2434.5,2004,July,7
France,7/23/2004 0:00,S24_2000,30,61.7,10275,Motorcycles,1960 BSA Gold Star DBD34,1851,2004,July,7
France,7/23/2004 0:00,S24_3949,41,58,10275,Planes,Corsair F4U ( Bird Cage),2378,2004,July,7
France,7/23/2004 0:00,S24_4278,27,67.38,10275,Planes,1900s Vintage Tri-Plane,1819.26,2004,July,7
France,7/23/2004 0:00,S32_1374,23,89.9,10275,Motorcycles,1997 BMW F650 ST,2067.7,2004,July,7
France,7/23/2004 0:00,S32_4289,28,58.47,10275,Vintage Cars,1928 Ford Phaeton Deluxe,1637.16,2004,July,7
France,7/23/2004 0:00,S50_1341,38,40.15,10275,Vintage Cars,1930 Buick Marquette Phaeton,1525.7,2004,July,7
France,7/23/2004 0:00,S700_1691,32,85.86,10275,Planes,American Airlines: B767-300,2747.52,2004,July,7
France,7/23/2004 0:00,S700_2466,39,82.77,10275,Planes,America West Airlines B757-200,3228.03,2004,July,7
France,7/23/2004 0:00,S700_2834,48,102.04,10275,Planes,ATA: B757-300,4897.92,2004,July,7
France,7/23/2004 0:00,S700_3167,43,72,10275,Planes,F/A 18 Hornet 1/72,3096,2004,July,7
France,7/23/2004 0:00,S700_4002,31,59.96,10275,Planes,American Airlines: MD-11S,1858.76,2004,July,7
France,10/29/2004 0:00,S18_4522,36,78.12,10315,Vintage Cars,1904 Buick Runabout,2812.32,2004,October,10
France,10/29/2004 0:00,S24_2011,35,111.83,10315,Ships,18th century schooner,3914.05,2004,October,10
France,10/29/2004 0:00,S24_3151,24,78.77,10315,Vintage Cars,1912 Ford Model T Delivery Wagon,1890.48,2004,October,10
France,10/29/2004 0:00,S700_1138,41,60.67,10315,Ships,The Schooner Bluenose,2487.47,2004,October,10
France,10/29/2004 0:00,S700_3505,31,99.17,10315,Ships,The Titanic,3074.27,2004,October,10
France,10/29/2004 0:00,S700_3962,37,88.39,10315,Ships,The Queen Mary,3270.43,2004,October,10
France,10/29/2004 0:00,S72_3212,40,51.32,10315,Ships,Pont Yacht,2052.8,2004,October,10
France,2/3/2005 0:00,S10_1678,21,76.56,10375,Motorcycles,1969 Harley Davidson Ultimate Chopper,1607.76,2005,February,2
France,2/3/2005 0:00,S12_1099,45,184.84,10375,Classic Cars,1968 Ford Mustang,8317.8,2005,February,2
France,2/3/2005 0:00,S12_2823,49,150.62,10375,Motorcycles,2002 Suzuki XREO,7380.38,2005,February,2
France,2/3/2005 0:00,S24_2000,23,67.03,10375,Motorcycles,1960 BSA Gold Star DBD34,1541.69,2005,February,2
France,2/3/2005 0:00,S24_2360,20,60.26,10375,Motorcycles,1982 Ducati 900 Monster,1205.2,2005,February,2
France,2/3/2005 0:00,S24_4278,43,60.13,10375,Planes,1900s Vintage Tri-Plane,2585.59,2005,February,2
France,2/3/2005 0:00,S32_1374,37,87.9,10375,Motorcycles,1997 BMW F650 ST,3252.3,2005,February,2
France,2/3/2005 0:00,S32_4289,44,59.85,10375,Vintage Cars,1928 Ford Phaeton Deluxe,2633.4,2005,February,2
France,2/3/2005 0:00,S32_4485,41,96.95,10375,Motorcycles,1974 Ducati 350 Mk3 Desmo,3974.95,2005,February,2
France,2/3/2005 0:00,S50_1341,49,36.22,10375,Vintage Cars,1930 Buick Marquette Phaeton,1774.78,2005,February,2
France,2/3/2005 0:00,S50_4713,49,69.16,10375,Motorcycles,2002 Yamaha YZR M1,3388.84,2005,February,2
France,2/3/2005 0:00,S700_1691,37,86.77,10375,Planes,American Airlines: B767-300,3210.49,2005,February,2
France,2/3/2005 0:00,S700_2466,33,94.73,10375,Planes,America West Airlines B757-200,3126.09,2005,February,2
France,2/3/2005 0:00,S700_2834,25,98.48,10375,Planes,ATA: B757-300,2462,2005,February,2
France,2/3/2005 0:00,S700_3167,44,69.6,10375,Planes,F/A 18 Hornet 1/72,3062.4,2005,February,2
France,5/31/2005 0:00,S10_4962,38,131.49,10425,Classic Cars,1962 LanciaA Delta 16V,4996.62,2005,May,5
France,5/31/2005 0:00,S12_4473,33,95.99,10425,Trucks and Buses,1957 Chevy Pickup,3167.67,2005,May,5
France,5/31/2005 0:00,S18_2238,28,147.36,10425,Classic Cars,1998 Chrysler Plymouth Prowler,4126.08,2005,May,5
France,5/31/2005 0:00,S18_2319,38,117.82,10425,Trucks and Buses,1964 Mercedes Tour Bus,4477.16,2005,May,5
France,5/31/2005 0:00,S18_2432,19,48.62,10425,Trucks and Buses,1926 Ford Fire Engine,923.78,2005,May,5
France,5/31/2005 0:00,S18_3232,28,140.55,10425,Classic Cars,1992 Ferrari 360 Spider red,3935.4,2005,May,5
France,5/31/2005 0:00,S18_4600,38,107.76,10425,Trucks and Buses,1940s Ford truck,4094.88,2005,May,5
France,5/31/2005 0:00,S24_1444,55,53.75,10425,Classic Cars,1970 Dodge Coronet,2956.25,2005,May,5
France,5/31/2005 0:00,S24_2300,49,127.79,10425,Trucks and Buses,1962 Volkswagen Microbus,6261.71,2005,May,5
France,5/31/2005 0:00,S24_2840,31,31.82,10425,Classic Cars,1958 Chevy Corvette Limited Edition,986.42,2005,May,5
France,5/31/2005 0:00,S32_1268,41,83.79,10425,Trucks and Buses,1980’s GM Manhattan Express,3435.39,2005,May,5
France,5/31/2005 0:00,S32_2509,11,50.32,10425,Trucks and Buses,1954 Greyhound Scenicruiser,553.52,2005,May,5
France,5/31/2005 0:00,S50_1392,18,94.92,10425,Trucks and Buses,Diamond T620 Semi-Skirted Tanker,1708.56,2005,May,5
Norway,1/29/2003 0:00,S10_1949,26,214.3,10103,Classic Cars,1952 Alpine Renault 1300,5571.8,2003,January,1
Norway,1/29/2003 0:00,S10_4962,42,119.67,10103,Classic Cars,1962 LanciaA Delta 16V,5026.14,2003,January,1
Norway,1/29/2003 0:00,S12_1666,27,121.64,10103,Trucks and Buses,1958 Setra Bus,3284.28,2003,January,1
Norway,1/29/2003 0:00,S18_1097,35,94.5,10103,Trucks and Buses,1940 Ford Pickup Truck,3307.5,2003,January,1
Norway,1/29/2003 0:00,S18_2432,22,58.34,10103,Trucks and Buses,1926 Ford Fire Engine,1283.48,2003,January,1
Norway,1/29/2003 0:00,S18_2949,27,92.19,10103,Vintage Cars,1913 Ford Model T Speedster,2489.13,2003,January,1
Norway,1/29/2003 0:00,S18_2957,35,61.84,10103,Vintage Cars,1934 Ford V8 Coupe,2164.4,2003,January,1
Norway,1/29/2003 0:00,S18_3136,25,86.92,10103,Vintage Cars,18th Century Vintage Horse Carriage,2173,2003,January,1
Norway,1/29/2003 0:00,S18_3320,46,86.31,10103,Vintage Cars,1917 Maxwell Touring Car,3970.26,2003,January,1
Norway,1/29/2003 0:00,S18_4600,36,98.07,10103,Trucks and Buses,1940s Ford truck,3530.52,2003,January,1
Norway,1/29/2003 0:00,S18_4668,41,40.75,10103,Vintage Cars,1939 Cadillac Limousine,1670.75,2003,January,1
Norway,1/29/2003 0:00,S24_2300,36,107.34,10103,Trucks and Buses,1962 Volkswagen Microbus,3864.24,2003,January,1
Norway,1/29/2003 0:00,S24_4258,25,88.62,10103,Vintage Cars,1936 Chrysler Airflow,2215.5,2003,January,1
Norway,1/29/2003 0:00,S32_1268,31,92.46,10103,Trucks and Buses,1980’s GM Manhattan Express,2866.26,2003,January,1
Norway,1/29/2003 0:00,S32_3522,45,63.35,10103,Trucks and Buses,1996 Peterbilt 379 Stake Bed with Outrigger,2850.75,2003,January,1
Norway,1/29/2003 0:00,S700_2824,42,94.07,10103,Classic Cars,1982 Camaro Z28,3950.94,2003,January,1
Norway,10/10/2003 0:00,S24_2000,22,67.79,10158,Motorcycles,1960 BSA Gold Star DBD34,1491.38,2003,October,10
Norway,10/15/2004 0:00,S10_1678,41,94.74,10309,Motorcycles,1969 Harley Davidson Ultimate Chopper,3884.34,2004,October,10
Norway,10/15/2004 0:00,S12_2823,26,144.6,10309,Motorcycles,2002 Suzuki XREO,3759.6,2004,October,10
Norway,10/15/2004 0:00,S24_1578,21,96.92,10309,Motorcycles,1997 BMW R 1100 S,2035.32,2004,October,10
Norway,10/15/2004 0:00,S24_2360,24,59.56,10309,Motorcycles,1982 Ducati 900 Monster,1429.44,2004,October,10
Norway,10/15/2004 0:00,S32_4485,50,93.89,10309,Motorcycles,1974 Ducati 350 Mk3 Desmo,4694.5,2004,October,10
Norway,10/15/2004 0:00,S50_4713,28,74.04,10309,Motorcycles,2002 Yamaha YZR M1,2073.12,2004,October,10
Norway,11/5/2004 0:00,S10_4757,47,111.52,10325,Classic Cars,1972 Alfa Romeo GTA,5241.44,2004,November,11
Norway,11/5/2004 0:00,S12_1108,42,193.25,10325,Classic Cars,2001 Ferrari Enzo,8116.5,2004,November,11
Norway,11/5/2004 0:00,S12_3891,24,166.1,10325,Classic Cars,1969 Ford Falcon,3986.4,2004,November,11
Norway,11/5/2004 0:00,S18_3140,24,114.74,10325,Vintage Cars,1903 Ford Model A,2753.76,2004,November,11
Norway,11/5/2004 0:00,S24_4048,44,114.73,10325,Classic Cars,1992 Porsche Cayenne Turbo Silver,5048.12,2004,November,11
Norway,11/5/2004 0:00,S32_2509,38,44.37,10325,Trucks and Buses,1954 Greyhound Scenicruiser,1686.06,2004,November,11
Norway,11/5/2004 0:00,S32_3207,28,55.3,10325,Trains,1950's Chicago Surface Lines Streetcar,1548.4,2004,November,11
Norway,11/5/2004 0:00,S50_1392,38,99.55,10325,Trucks and Buses,Diamond T620 Semi-Skirted Tanker,3782.9,2004,November,11
Norway,11/5/2004 0:00,S50_1514,44,56.24,10325,Trains,1962 City of Detroit Streetcar,2474.56,2004,November,11
USA,3/26/2003 0:00,S12_1666,21,121.64,10113,Trucks and Buses,1958 Setra Bus,2554.44,2003,March,3
USA,3/26/2003 0:00,S18_1097,49,101.5,10113,Trucks and Buses,1940 Ford Pickup Truck,4973.5,2003,March,3
USA,3/26/2003 0:00,S18_4668,50,43.27,10113,Vintage Cars,1939 Cadillac Limousine,2163.5,2003,March,3
USA,3/26/2003 0:00,S32_3522,23,58.82,10113,Trucks and Buses,1996 Peterbilt 379 Stake Bed with Outrigger,1352.86,2003,March,3
USA,7/2/2003 0:00,S12_1099,42,173.17,10135,Classic Cars,1968 Ford Mustang,7273.14,2003,July,7
USA,7/2/2003 0:00,S12_3380,48,110.39,10135,Classic Cars,1968 Dodge Charger,5298.72,2003,July,7
USA,7/2/2003 0:00,S12_3990,24,72.62,10135,Classic Cars,1970 Plymouth Hemi Cuda,1742.88,2003,July,7
USA,7/2/2003 0:00,S12_4675,29,103.64,10135,Classic Cars,1969 Dodge Charger,3005.56,2003,July,7
USA,7/2/2003 0:00,S18_1889,48,66.99,10135,Classic Cars,1948 Porsche 356-A Roadster,3215.52,2003,July,7
USA,7/2/2003 0:00,S18_3278,45,65.94,10135,Classic Cars,1969 Dodge Super Bee,2967.3,2003,July,7
USA,7/2/2003 0:00,S18_3482,42,139.64,10135,Classic Cars,1976 Ford Gran Torino,5864.88,2003,July,7
USA,7/2/2003 0:00,S18_3782,45,49.74,10135,Motorcycles,1957 Vespa GS150,2238.3,2003,July,7
USA,7/2/2003 0:00,S18_4721,31,133.92,10135,Classic Cars,1957 Corvette Convertible,4151.52,2003,July,7
USA,7/2/2003 0:00,S24_2360,29,67.18,10135,Motorcycles,1982 Ducati 900 Monster,1948.22,2003,July,7
USA,7/2/2003 0:00,S24_2972,20,34.36,10135,Classic Cars,1982 Lamborghini Diablo,687.2,2003,July,7
USA,7/2/2003 0:00,S24_3371,27,52.05,10135,Classic Cars,1971 Alpine Renault 1600s,1405.35,2003,July,7
USA,7/2/2003 0:00,S24_3856,47,139.03,10135,Classic Cars,1956 Porsche 356A Coupe,6534.41,2003,July,7
USA,7/2/2003 0:00,S24_4620,23,76.8,10135,Classic Cars,1961 Chevrolet Impala,1766.4,2003,July,7
USA,7/2/2003 0:00,S32_2206,33,38.62,10135,Motorcycles,1982 Ducati 996 R,1274.46,2003,July,7
USA,7/2/2003 0:00,S32_4485,30,91.85,10135,Motorcycles,1974 Ducati 350 Mk3 Desmo,2755.5,2003,July,7
USA,7/2/2003 0:00,S50_4713,44,78.92,10135,Motorcycles,2002 Yamaha YZR M1,3472.48,2003,July,7
USA,8/8/2003 0:00,S12_1108,33,166.24,10142,Classic Cars,2001 Ferrari Enzo,5485.92,2003,August,8
USA,8/8/2003 0:00,S12_3148,33,140.5,10142,Classic Cars,1969 Corvair Monza,4636.5,2003,August,8
USA,8/8/2003 0:00,S12_3891,46,167.83,10142,Classic Cars,1969 Ford Falcon,7720.18,2003,August,8
USA,8/8/2003 0:00,S18_3140,47,129.76,10142,Vintage Cars,1903 Ford Model A,6098.72,2003,August,8
USA,8/8/2003 0:00,S18_3259,22,95.8,10142,Trains,Collectable Wooden Train,2107.6,2003,August,8
USA,8/8/2003 0:00,S18_4027,24,122.08,10142,Classic Cars,1970 Triumph Spitfire,2929.92,2003,August,8
USA,8/8/2003 0:00,S18_4522,24,79.87,10142,Vintage Cars,1904 Buick Runabout,1916.88,2003,August,8
USA,8/8/2003 0:00,S24_2011,33,114.29,10142,Ships,18th century schooner,3771.57,2003,August,8
USA,8/8/2003 0:00,S24_3151,49,74.35,10142,Vintage Cars,1912 Ford Model T Delivery Wagon,3643.15,2003,August,8
USA,8/8/2003 0:00,S32_3207,42,60.9,10142,Trains,1950's Chicago Surface Lines Streetcar,2557.8,2003,August,8
USA,8/8/2003 0:00,S50_1514,42,56.24,10142,Trains,1962 City of Detroit Streetcar,2362.08,2003,August,8
USA,8/8/2003 0:00,S700_1138,41,55.34,10142,Ships,The Schooner Bluenose,2268.94,2003,August,8
USA,8/8/2003 0:00,S700_1938,43,77.08,10142,Ships,The Mayflower,3314.44,2003,August,8
USA,8/8/2003 0:00,S700_3505,21,92.16,10142,Ships,The Titanic,1935.36,2003,August,8
USA,8/8/2003 0:00,S700_3962,38,91.37,10142,Ships,The Queen Mary,3472.06,2003,August,8
USA,8/8/2003 0:00,S72_3212,39,46.96,10142,Ships,Pont Yacht,1831.44,2003,August,8
USA,11/12/2003 0:00,S18_1342,25,83.22,10182,Vintage Cars,1937 Lincoln Berline,2080.5,2003,November,11
USA,11/12/2003 0:00,S18_1367,32,44.21,10182,Vintage Cars,1936 Mercedes-Benz 500K Special Roadster,1414.72,2003,November,11
USA,11/12/2003 0:00,S18_1749,44,159.8,10182,Vintage Cars,1917 Grand Touring Sedan,7031.2,2003,November,11
USA,11/12/2003 0:00,S18_2248,38,54.49,10182,Vintage Cars,1911 Ford Town Car,2070.62,2003,November,11
USA,11/12/2003 0:00,S18_2325,20,105.52,10182,Vintage Cars,1932 Model A Ford J-Coupe,2110.4,2003,November,11
USA,11/12/2003 0:00,S18_2795,21,135,10182,Vintage Cars,1928 Mercedes-Benz SSK,2835,2003,November,11
USA,11/12/2003 0:00,S18_3320,33,86.31,10182,Vintage Cars,1917 Maxwell Touring Car,2848.23,2003,November,11
USA,11/12/2003 0:00,S18_4409,36,88.35,10182,Vintage Cars,1932 Alfa Romeo 8C2300 Spider Sport,3180.6,2003,November,11
USA,11/12/2003 0:00,S18_4933,44,61.29,10182,Classic Cars,1957 Ford Thunderbird,2696.76,2003,November,11
USA,11/12/2003 0:00,S24_1046,47,63.2,10182,Classic Cars,1970 Chevy Chevelle SS 454,2970.4,2003,November,11
